"TOA5","USL_Winch_IP","CR1000","83445","CR1000.Std.31","CPU:USL_1M_6H.cr1","21122","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2017-05-25 12:32:28",76,"[05/25/2017 12:35:37] ------------------ End of profile [3] ------------------",""
"2017-05-25 14:25:50.1",77,"(Setup Mode)(F3) - Manual Depth Finder reading - DF1(27.3) DF2(27.4).","$SDDPT,27.4,*48  $SDDBT,91.4,f,27.4,M,15.2,F*3D  $YXMTW,13.9,C*19  "
"2017-05-25 14:26:13.1",78,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 7 240 22 211 212 18 223 216 225 194 193 28 230   #"
"2017-05-25 14:26:29.1",79,"(Setup Mode) (F5) - Manual profile sonde reading."," 13.626 56.99 0.912 0.914 101.70 10.57 7.53 0.91 -0.18 0.19 1.61 7.33 6.23 12.13   # "
"2017-05-25 14:27:31.1",80,"(Setup Mode) (F7) - Manual Stay-at-Park Depth call."," 10.405 59.10 9.928 9.460 91.85 10.26 7.47 0.66 -0.21 0.15 1.59 7.21 6.24 11.89   # "
"2017-05-25 14:29:14.1",81,"(Setup Mode) (F5) - Manual profile sonde reading."," 9.669 58.73 10.044 9.965 88.32 10.05 7.33 0.49 -0.21 0.16 1.27 5.88 6.24 12.01   # "
"2017-05-25 14:31:10.1",82,"(Setup Mode) (F7) - Manual Stay-at-Park Depth call."," 13.540 57.04 0.971 1.143 101.17 10.53 7.15 0.81 -0.19 0.18 1.68 7.62 6.24 11.82   # "
"2017-05-25 14:33:56",83,"[05/25/2017 14:33:56.09] ------------------ Start of  profile [4] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-25 14:33:56",84,"[05/25/2017 14:34:11.33]  Water available (26.70343); Start Depth (1); End Depth (24.70343) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-25 14:36:22.1",85,"      [05/25/2017 14:36:22.10] ***** (SetupMode)  -  Entering ErrorCheck Code for (999) ********",""
"2017-05-25 14:36:22.1",86,"[05/25/2017 14:36:22.11]    ExitCode(0)",""
"2017-05-25 17:19:00",87,"[05/25/2017 17:19:25.98]  ERROR: (Depth Finder) - Unable to get 2 readings within tolerance.","DF1(27.3); DF2(27.9); DF_Error(0) tries(4); AltValidation(2)"
"2017-05-25 17:19:00",88,"[05/25/2017 17:19:26] ERROR: Parking sonde [86.3] - Unable to update current water depth.","DF1(27.3); DF2(27.9); DF_Error(0) tries(4); AltValidation(2)"
"2017-05-25 18:00:00",89,"[05/25/2017 18:00:00.09] ------------------ Start of  profile [5] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-25 18:00:00",90,"[05/25/2017 18:00:12.80]  Water available (26.89906); Start Depth (1); End Depth (24.89906) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-25 18:32:44",91,"[05/25/2017 18:35:57.84] ------------------ End of profile [5] ------------------",""
"2017-05-25 23:52:00",92,"[05/25/2017 23:52:00.01]        Turning modem OFF","ModemCounter (1365); modemCurrMin(1431); resetModem(53)"
"2017-05-25 23:53:01",93,"[05/25/2017 23:53:01.01]        Turning modem back ON","ModemCounter (1426); modemCurrMin(1433); resetModem(0)"
"2017-05-26 00:00:00",94,"[05/26/2017 00:00:00.09] ------------------ Start of  profile [6] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-26 00:00:00",95,"[05/26/2017 00:00:15.81]  Water available (25.5); Start Depth (1); End Depth (23.5) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-26 00:33:14",96,"[05/26/2017 00:36:36.96] ------------------ End of profile [6] ------------------",""
"2017-05-26 06:00:00",97,"[05/26/2017 06:00:00.09] ------------------ Start of  profile [7] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-26 06:00:00",98,"[05/26/2017 06:00:12.79]  Water available (26.60562); Start Depth (1); End Depth (24.60562) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-26 06:33:01",99,"[05/26/2017 06:36:23.99] ------------------ End of profile [7] ------------------",""
"2017-05-26 12:00:00",100,"[05/26/2017 12:00:00.09] ------------------ Start of  profile [8] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-26 12:00:00",101,"[05/26/2017 12:00:12.80]  Water available (26.99688); Start Depth (1); End Depth (24.99688) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-26 12:32:35",102,"[05/26/2017 12:35:48.24] ------------------ End of profile [8] ------------------",""
"2017-05-26 14:19:00",103,"[05/26/2017 14:19:25.98]  ERROR: (Depth Finder) - Unable to get 2 readings within tolerance.","DF1(28.7); DF2(27.4); DF_Error(0) tries(4); AltValidation(2)"
"2017-05-26 14:19:00",104,"[05/26/2017 14:19:26] ERROR: Parking sonde [86.3] - Unable to update current water depth.","DF1(28.7); DF2(27.4); DF_Error(0) tries(4); AltValidation(2)"
"2017-05-26 16:38:30.1",105,"(Setup Mode) (F7) - Manual Stay-at-Park Depth call."," 11.068 58.15 9.945 9.895 92.44 10.17 7.37 0.69 -0.17 0.20 1.70 7.69 6.25 12.20   # "
"2017-05-26 16:39:43.1",106,"(Setup Mode)(F3) - Manual Depth Finder reading - DF1(27.2) DF2(27.3).","$SDDPT,27.3,*4F  $SDDBT,91.1,f,27.3,M,15.1,F*3C  $YXMTW,13.7,C*17  "
"2017-05-26 16:41:09.1",107,"(Setup Mode) (F5) - Manual profile sonde reading."," 10.468 58.16 10.047 10.046 89.91 10.04 7.15 0.63 -0.19 0.18 1.75 7.91 6.25 12.34   # "
"2017-05-26 16:49:50.1",108,"(Setup Mode) (F7) - Manual Stay-at-Park Depth call."," 13.378 56.92 1.095 1.250 99.22 10.37 7.08 0.85 -0.16 0.21 1.72 7.79 6.25 11.97   # "
"2017-05-26 16:53:57.1",109,"(Setup Mode) (F7) - Manual Stay-at-Park Depth call."," 11.094 58.25 9.914 9.882 92.35 10.15 7.36 0.71 -0.16 0.21 1.59 7.23 6.25 12.14   # "
"2017-05-26 16:56:53.1",110,"(Setup Mode) (F7) - Manual Stay-at-Park Depth call."," 13.351 56.95 1.090 1.264 99.36 10.39 7.13 0.85 -0.16 0.21 6.93 30.07 6.25 11.83   # "
"2017-05-26 16:58:30.1",111,"(Setup Mode) (F7) - Manual Stay-at-Park Depth call."," 13.452 56.88 0.989 1.015 99.57 10.38 7.24 0.77 -0.17 0.19 1.32 6.09 6.25 12.02   # "
"2017-05-26 18:00:00",112,"[05/26/2017 18:00:00.09] ------------------ Start of  profile [9] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-26 18:00:00",113,"[05/26/2017 18:00:12.79]  Water available (27.1925); Start Depth (1); End Depth (25.1925) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-26 18:32:41",114,"[05/26/2017 18:35:57.62] ------------------ End of profile [9] ------------------",""
"2017-05-26 23:52:00",115,"[05/26/2017 23:52:00.01]        Turning modem OFF","ModemCounter (1427); modemCurrMin(1431); resetModem(53)"
"2017-05-26 23:53:01",116,"[05/26/2017 23:53:01.01]        Turning modem back ON","ModemCounter (1488); modemCurrMin(1433); resetModem(0)"
"2017-05-27 00:00:00",117,"[05/27/2017 00:00:00.09] ------------------ Start of  profile [10] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-27 00:00:00",118,"[05/27/2017 00:00:12.80]  Water available (26.99688); Start Depth (1); End Depth (24.99688) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-27 00:34:20",119,"[05/27/2017 00:37:45.23] ------------------ End of profile [10] ------------------",""
"2017-05-27 06:00:00",120,"[05/27/2017 06:00:00.09] ------------------ Start of  profile [11] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-27 06:00:00",121,"[05/27/2017 06:00:12.81]  Water available (26.70343); Start Depth (1); End Depth (24.70343) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-27 06:33:12",122,"[05/27/2017 06:36:37.55] ------------------ End of profile [11] ------------------",""
"2017-05-27 12:00:00",123,"[05/27/2017 12:00:00.09] ------------------ Start of  profile [12] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
