"TOA5","USL_MET_IP","CR1000","81651","CR1000.Std.30.01","CPU:Met1000_line797_rainMET.CR1","7226","Wind_vectorRaw"
"TIMESTAMP","RECORD","W_SpdRaw_WVc(1)","W_SpdRaw_WVc(2)"
"TS","RN","",""
"","","WVc","WVc"
"2017-05-27 21:29:31",374,0.9760661,212.6823
"2017-05-27 21:44:31",375,0.5292678,242.5108
"2017-05-27 21:59:31",376,0.6815723,223.9454
"2017-05-27 22:14:31",377,0.5769867,293.0435
"2017-05-27 22:29:31",378,0.3785587,271.6237
"2017-05-27 22:44:31",379,0.7858653,207.8438
"2017-05-27 22:59:31",380,0.3552728,255.9982
"2017-05-27 23:14:31",381,0.3931924,208.8312
"2017-05-27 23:29:31",382,0.6612746,233.6628
"2017-05-27 23:44:31",383,0.6738405,228.651
"2017-05-27 23:59:31",384,1.545904,189.0093
"2017-05-28 00:14:31",385,1.826348,170.0194
"2017-05-28 00:29:31",386,1.545497,174.748
"2017-05-28 00:44:31",387,1.407106,167.9759
"2017-05-28 00:59:31",388,1.247164,166.1539
"2017-05-28 01:14:31",389,1.318122,197.5905
"2017-05-28 01:29:31",390,0.5660858,239.5183
"2017-05-28 01:44:31",391,0.9699973,220.8954
"2017-05-28 01:59:31",392,0.521087,262.5631
"2017-05-28 02:14:31",393,0.5905401,255.0201
"2017-05-28 02:29:31",394,1.111333,250.453
"2017-05-28 02:44:31",395,0.3517212,233.2274
"2017-05-28 02:59:31",396,0.9560831,239.9863
"2017-05-28 03:14:31",397,0.5009235,219.2654
"2017-05-28 03:29:31",398,2.773756,176.8436
"2017-05-28 03:44:31",399,1.91606,163.9161
"2017-05-28 03:59:31",400,0.7970816,166.0388
"2017-05-28 04:14:31",401,1.998098,185.8935
"2017-05-28 04:29:31",402,1.524773,197.9114
"2017-05-28 04:44:31",403,0.3172417,278.4578
"2017-05-28 04:59:31",404,0.8055543,213.7097
"2017-05-28 05:14:31",405,1.030169,195.3593
"2017-05-28 05:29:31",406,1.046214,188.0594
"2017-05-28 05:44:31",407,1.232414,173.8097
"2017-05-28 05:59:31",408,1.15995,190.5044
"2017-05-28 06:14:31",409,1.935949,185.1863
"2017-05-28 06:29:31",410,1.798726,182.9725
"2017-05-28 06:44:31",411,1.017155,183.7784
"2017-05-28 06:59:31",412,1.731118,172.9819
"2017-05-28 07:14:31",413,1.795691,174.4846
"2017-05-28 07:29:31",414,1.373842,158.4207
"2017-05-28 07:44:30",415,0.7735369,123.2586
"2017-05-28 07:59:31",416,0.3282559,109.0701
"2017-05-28 08:14:31",417,0.1972813,26.32526
"2017-05-28 08:29:31",418,0.4048127,6.396958
"2017-05-28 08:44:31",419,0.3809206,352.2176
"2017-05-28 08:59:31",420,0.1875715,317.3783
"2017-05-28 09:14:31",421,0.6912596,315.7711
"2017-05-28 09:29:31",422,0.3627345,313.6537
"2017-05-28 09:44:31",423,0.6031505,324.6866
"2017-05-28 09:59:31",424,0.6460577,311.6493
"2017-05-28 10:14:31",425,0.8079589,327.1116
"2017-05-28 10:29:31",426,0.8212435,297.5748
"2017-05-28 10:44:31",427,1.474563,222.2381
"2017-05-28 10:59:31",428,0.588405,200.6151
"2017-05-28 11:14:31",429,0.2007204,60.70768
"2017-05-28 11:29:31",430,0.187279,105.4722
"2017-05-28 11:44:31",431,0.9097822,112.6036
"2017-05-28 11:59:31",432,0.8381921,117.9006
"2017-05-28 12:14:31",433,1.913677,217.96
"2017-05-28 12:29:31",434,3.777076,224.1922
"2017-05-28 12:44:31",435,4.618677,213.8752
"2017-05-28 12:59:31",436,5.117684,221.8304
"2017-05-28 13:14:31",437,4.493728,218.0167
"2017-05-28 13:29:31",438,4.282939,214.5085
"2017-05-28 13:44:31",439,5.0782,205.3849
"2017-05-28 13:59:31",440,4.88254,209.1038
"2017-05-28 14:14:31",441,3.502287,183.6968
"2017-05-28 14:29:31",442,3.618227,191.3003
"2017-05-28 14:44:31",443,3.402397,179.8136
"2017-05-28 14:59:31",444,3.349921,216.7026
"2017-05-28 15:14:31",445,4.436089,216.1979
"2017-05-28 15:29:31",446,4.012234,219.9925
"2017-05-28 15:44:31",447,4.345535,243.3081
"2017-05-28 15:59:31",448,5.317594,245.7131
"2017-05-28 16:14:31",449,3.661044,249.1068
"2017-05-28 16:29:31",450,3.185258,238.3078
"2017-05-28 16:44:31",451,4.581902,231.9581
"2017-05-28 16:59:31",452,4.254097,228.0346
"2017-05-28 17:14:31",453,3.216938,234.1982
"2017-05-28 17:29:31",454,4.310314,216.6997
"2017-05-28 17:44:31",455,4.691883,215.4344
"2017-05-28 17:59:31",456,4.028837,204.0159
"2017-05-28 18:14:31",457,4.230812,205.2612
"2017-05-28 18:29:31",458,4.928482,196.36
"2017-05-28 18:44:31",459,4.320136,201.0948
"2017-05-28 18:59:31",460,4.578937,206.8648
"2017-05-28 19:14:31",461,4.940771,210.3453
"2017-05-28 19:29:31",462,4.935331,207.0476
"2017-05-28 19:44:31",463,4.112519,207.5167
"2017-05-28 19:59:31",464,3.916785,202.4412
"2017-05-28 20:14:31",465,3.626764,204.1902
"2017-05-28 20:29:31",466,3.104435,204.0739
"2017-05-28 20:44:31",467,3.024287,203.395
"2017-05-28 20:59:31",468,3.352296,220.0715
"2017-05-28 21:14:31",469,4.083807,202.3872
"2017-05-28 21:29:31",470,3.506738,195.1227
"2017-05-28 21:44:31",471,3.761696,201.575
"2017-05-28 21:59:31",472,4.439036,207.8771
"2017-05-28 22:14:31",473,5.017285,203.8624
"2017-05-28 22:29:31",474,6.150125,200.6409
"2017-05-28 22:44:31",475,6.599459,204.9647
"2017-05-28 22:59:31",476,6.309281,207.1811
"2017-05-28 23:14:31",477,5.972968,207.5315
"2017-05-28 23:29:31",478,5.979807,205.8156
"2017-05-28 23:44:31",479,6.163532,213.6048
"2017-05-28 23:59:31",480,6.053252,210.6888
"2017-05-29 00:14:31",481,5.567207,210.4362
"2017-05-29 00:29:31",482,6.053329,202.9188
"2017-05-29 00:44:31",483,6.720323,205.6179
"2017-05-29 00:59:31",484,6.712212,203.3067
"2017-05-29 01:14:31",485,6.274313,203.4286
"2017-05-29 01:29:31",486,6.557932,201.2645
"2017-05-29 01:44:31",487,5.584679,205.8378
"2017-05-29 01:59:31",488,4.845912,213.7127
"2017-05-29 02:14:31",489,5.450396,213.3873
"2017-05-29 02:29:31",490,5.648864,206.8939
"2017-05-29 02:44:31",491,7.00073,196.3434
"2017-05-29 02:59:31",492,6.681962,191.9487
"2017-05-29 03:14:31",493,7.360432,198.9023
"2017-05-29 03:29:31",494,6.543702,204.0306
"2017-05-29 03:44:31",495,5.244072,210.7883
"2017-05-29 03:59:31",496,5.586433,210.0341
"2017-05-29 04:14:31",497,5.524752,209.9044
"2017-05-29 04:29:31",498,6.575433,219.1634
"2017-05-29 04:44:31",499,6.770341,217.7126
"2017-05-29 04:59:31",500,6.443221,226.4071
"2017-05-29 05:14:31",501,6.952893,213.954
"2017-05-29 05:29:31",502,6.841794,205.1387
"2017-05-29 05:44:31",503,6.875241,196.0906
"2017-05-29 05:59:31",504,8.322739,201.1647
"2017-05-29 06:14:31",505,8.507643,201.9219
"2017-05-29 06:29:31",506,7.772024,203.1523
"2017-05-29 06:44:31",507,6.848544,210.1728
"2017-05-29 06:59:31",508,6.178767,222.9342
"2017-05-29 07:14:31",509,6.528817,223.0612
"2017-05-29 07:29:31",510,7.083722,222.4887
"2017-05-29 07:44:31",511,7.354341,215.9423
"2017-05-29 07:59:31",512,7.482736,213.1515
